"","PC do B","PCB","PDT","PFL","PL","PMDB","PMN","PP","PPR","PPS","PRN","PRONA","PRP","PSB","PSC","PSD","PSDB","PSTU","PT","PT do B","PTB","PTRB","PV"
"PC do B",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCB",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDT",3,0,24,0,0,0,4,2,0,3,0,0,1,3,0,1,1,0,3,0,0,0,2
"PFL",0,0,0,24,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"PL",1,0,0,0,18,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
"PMDB",3,0,2,1,5,24,1,2,1,1,1,0,2,2,0,6,5,0,0,0,1,1,2
"PMN",0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PP",0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"PPR",0,0,2,4,0,0,1,4,23,0,0,0,0,1,1,0,1,0,0,0,3,0,1
"PPS",0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRN",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"PRONA",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"PRP",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"PSB",1,0,1,0,0,0,0,0,0,1,0,0,1,24,0,0,0,0,2,0,0,0,1
"PSC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"PSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"PSDB",1,0,0,2,1,1,0,0,2,1,0,0,1,0,0,0,26,0,0,0,0,0,1
"PSTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
"PT",4,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,6,25,1,0,0,4
"PT do B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PTB",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,19,0,0
"PTRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20
