"","PAN","PC do B","PCB","PCO","PDT","PFL","PGT","PL","PMDB","PMN","PPB","PPS","PRN","PRONA","PRP","PRTB","PSB","PSC","PSD","PSDB","PSDC","PSL","PSN","PST","PSTU","PT","PT do B","PTB","PTN","PV"
"PAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC do B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCO",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDT",2,1,1,0,0,0,0,0,0,2,0,2,0,0,1,1,3,2,0,1,0,1,2,1,0,1,1,0,1,1
"PFL",3,1,0,0,1,1,1,7,4,0,7,1,3,0,7,3,3,6,4,3,4,5,0,6,0,0,6,9,3,3
"PGT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMDB",5,3,1,0,4,6,1,7,2,5,6,6,5,3,4,4,1,5,6,4,3,6,1,6,0,1,6,7,3,2
"PMN",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPB",2,0,0,0,2,2,2,3,0,1,1,0,3,0,0,1,1,0,1,2,1,3,0,3,0,0,2,1,1,0
"PPS",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRN",0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"PRONA",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRP",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PRTB",1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"PSB",1,7,3,0,3,0,1,0,0,3,0,2,0,1,2,1,0,0,1,0,0,0,2,1,0,7,1,1,2,3
"PSC",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,1,0,0,0,0,1,0,0,0,0,1,0
"PSD",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"PSDB",0,1,0,0,0,5,1,6,3,3,7,5,0,0,3,1,2,4,6,0,2,2,1,0,0,1,3,6,1,4
"PSDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"PSL",0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0
"PSN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"PST",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"PSTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
"PT",2,13,9,0,8,0,0,1,0,4,0,4,0,0,0,0,7,0,0,1,0,1,2,0,0,2,1,1,0,5
"PT do B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PTB",0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1
"PTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
