"","PAN","PC do B","PCB","PCO","PDT","PFL","PHS","PL","PMDB","PMN","PP","PPS","PRB","PRONA","PRP","PRTB","PSB","PSC","PSDB","PSDC","PSL","PSOL","PSTU","PT","PT do B","PTB","PTC","PTN","PV"
"PAN",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PC do B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PCB",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCO",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDT",2,0,0,0,6,0,1,0,1,1,3,2,0,2,0,1,1,1,0,0,0,0,0,0,2,1,2,3,1
"PFL",3,0,0,0,0,1,5,3,2,1,4,3,0,1,1,1,0,4,2,0,0,0,0,0,1,1,2,5,2
"PHS",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"PL",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"PMDB",4,2,1,0,1,5,2,2,1,6,6,4,2,2,1,3,2,6,4,0,0,0,0,2,3,4,6,1,1
"PMN",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PP",1,0,0,0,0,0,1,1,0,2,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,2
"PPS",2,0,0,0,1,4,1,1,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,2,3
"PRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRONA",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"PRP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRTB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSB",0,4,0,0,2,0,2,3,1,3,2,1,2,0,0,0,3,1,0,0,0,0,0,4,1,3,0,0,1
"PSC",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"PSDB",5,0,0,0,0,9,4,6,2,2,5,8,0,2,2,3,2,5,3,0,0,0,0,0,8,10,5,3,3
"PSDC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"PSL",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,1,0,0
"PSOL",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0
"PSTU",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
"PT",2,18,0,0,0,0,2,8,3,3,2,1,9,2,1,3,8,2,0,0,0,0,0,0,1,5,0,2,2
"PT do B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"PTB",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PTC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"PTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"PV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
