"","DEM","PC do B","PCB","PCO","PDT","PHS","PMDB","PMN","PP","PPS","PR","PRB","PRP","PRTB","PSB","PSC","PSDB","PSDC","PSL","PSOL","PSTU","PT","PT do B","PTB","PTC","PTN","PV"
"DEM",0,0,0,0,0,1,1,2,1,2,0,0,1,0,0,2,4,0,2,0,0,0,0,1,1,2,1
"PC do B",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PCB",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCO",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDT",0,3,0,0,0,0,2,0,0,0,2,0,2,0,0,1,1,1,0,0,0,2,1,0,1,0,0
"PHS",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMDB",4,7,0,0,4,6,1,6,5,4,5,5,5,5,3,5,2,4,4,0,0,7,4,5,4,6,1
"PMN",1,1,0,0,0,1,1,3,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0
"PP",1,1,0,0,2,2,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,2,1,2,0,0
"PPS",0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,2
"PR",0,0,0,0,2,0,0,0,1,1,0,0,1,0,2,1,0,2,1,0,0,1,2,0,0,1,1
"PRB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PRTB",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,2,1
"PSB",1,4,0,0,5,2,3,0,2,3,3,4,4,0,0,3,1,2,2,0,0,6,2,2,3,3,3
"PSC",1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"PSDB",13,0,0,0,1,4,4,9,4,12,4,5,2,4,3,9,0,4,6,0,0,0,6,6,4,4,2
"PSDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"PSOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0
"PSTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"PT",0,9,0,0,7,5,2,0,4,1,6,7,4,2,8,3,0,4,3,0,0,0,2,3,4,3,3
"PT do B",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"PTB",0,0,1,0,1,2,0,2,1,0,0,1,1,2,0,0,0,1,1,1,0,0,1,0,3,0,0
"PTC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"PTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PV",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
