"","PMDB","PT","PSDB","PSD","PSB","PP","PDT","PTB","DEM","PR"
"PMDB",145,811,594,523,509,611,597,627,564,545
"PT",414,301,188,321,464,342,471,348,166,320
"PSDB",429,155,86,520,385,548,394,519,640,414
"PSD",321,317,342,49,304,372,302,295,314,315
"PSB",272,367,258,307,64,275,301,274,226,246
"PP",251,299,351,267,226,86,270,295,295,258
"PDT",217,276,216,179,194,214,83,214,172,171
"PTB",231,246,221,186,192,256,212,72,226,209
"DEM",193,88,271,195,174,209,167,181,70,211
"PR",174,213,211,182,170,194,171,204,255,39
