"","DEM","PC do B","PCB","PCO","PDT","PEN","PHS","PMDB","PMN","PP","PPL","PPS","PR","PRB","PROS","PRP","PRTB","PSB","PSC","PSD","PSDB","PSDC","PSL","PSOL","PSTU","PT","PT do B","PTB","PTC","PTN","PV","SD"
"DEM",0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,2,1
"PC do B",0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"PCB",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"PCO",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDT",2,0,0,0,0,1,0,1,0,2,0,1,0,1,0,1,0,1,2,0,1,1,1,0,0,0,0,1,0,0,2,0
"PEN",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHS",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PMDB",7,7,0,0,8,5,7,0,4,3,4,6,4,6,6,7,6,6,6,8,5,8,6,0,0,7,5,6,2,9,6,4
"PMN",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PP",2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2
"PPL",0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPS",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"PR",1,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
"PRB",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PROS",1,1,0,0,0,1,1,0,1,0,2,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,2,1,1
"PRP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRTB",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PSB",2,4,0,0,2,2,4,2,2,2,6,3,3,2,2,4,5,2,3,4,2,3,5,1,0,2,2,1,2,3,3,3
"PSC",1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1
"PSD",2,2,0,0,1,2,0,1,0,1,0,0,1,1,1,0,2,0,1,0,1,1,0,0,0,1,1,1,2,1,1,2
"PSDB",5,0,0,0,2,7,4,1,8,7,0,10,5,6,2,1,1,4,7,8,0,6,5,0,0,0,8,5,6,4,2,9
"PSDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"PSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PSOL",0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0
"PSTU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"PT",0,12,0,0,7,3,5,3,2,4,5,0,6,5,8,4,2,2,1,2,0,2,4,0,0,3,3,6,5,3,5,2
"PT do B",0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"PTB",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"PTC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"PTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"PV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SD",1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0
